Loss,Accuracy,a,k,b
1.29143,0.371501,0.243583,3.31817,-0.139958
1.29142,0.371501,0.243566,3.31817,-0.139958
1.29141,0.371501,0.243549,3.31817,-0.139958
1.2914,0.371501,0.243533,3.31817,-0.139958
1.29139,0.371501,0.243516,3.31817,-0.139958
1.29138,0.371501,0.243499,3.31817,-0.139957
1.29137,0.371501,0.243483,3.31817,-0.139957
1.29136,0.371501,0.243466,3.31816,-0.139957
1.29135,0.371501,0.243449,3.31816,-0.139957
1.29134,0.371501,0.243433,3.31816,-0.139957
1.29133,0.371501,0.243416,3.31816,-0.139957
1.29132,0.371501,0.2434,3.31816,-0.139957
1.29131,0.371501,0.243383,3.31816,-0.139957
1.2913,0.371501,0.243367,3.31816,-0.139957
1.29129,0.371501,0.24335,3.31816,-0.139957
1.29128,0.371501,0.243334,3.31816,-0.139957
1.29127,0.371501,0.243317,3.31816,-0.139956
1.29126,0.371501,0.243301,3.31816,-0.139956
1.29125,0.371501,0.243284,3.31815,-0.139956
1.29124,0.371501,0.243268,3.31815,-0.139956
1.29123,0.371501,0.243252,3.31815,-0.139956
1.29122,0.371501,0.243235,3.31815,-0.139956
1.29121,0.371501,0.243219,3.31815,-0.139956
1.2912,0.371501,0.243203,3.31815,-0.139956
1.29119,0.371501,0.243186,3.31815,-0.139956
1.29119,0.371501,0.24317,3.31815,-0.139956
1.29118,0.371501,0.243154,3.31815,-0.139956
1.29117,0.371501,0.243137,3.31815,-0.139956
1.29116,0.371501,0.243121,3.31814,-0.139955
1.29115,0.371501,0.243105,3.31814,-0.139955
1.29114,0.371501,0.243089,3.31814,-0.139955
1.29113,0.371501,0.243072,3.31814,-0.139955
1.29112,0.371501,0.243056,3.31814,-0.139955
1.29111,0.371501,0.24304,3.31814,-0.139955
1.2911,0.371501,0.243024,3.31814,-0.139955
1.29109,0.371501,0.243008,3.31814,-0.139955
1.29108,0.371501,0.242992,3.31814,-0.139955
1.29107,0.374046,0.242976,3.31814,-0.139955
1.29107,0.374046,0.24296,3.31814,-0.139955
1.29106,0.374046,0.242943,3.31813,-0.139954
1.29105,0.374046,0.242927,3.31813,-0.139954
1.29104,0.37659,0.242911,3.31813,-0.139954
1.29103,0.37659,0.242895,3.31813,-0.139954
1.29102,0.37659,0.242879,3.31813,-0.139954
1.29101,0.37659,0.242863,3.31813,-0.139954
1.291,0.37659,0.242847,3.31813,-0.139954
1.29099,0.37659,0.242831,3.31813,-0.139954
1.29099,0.37659,0.242815,3.31813,-0.139954
1.29098,0.37659,0.2428,3.31813,-0.139954
1.29097,0.37659,0.242784,3.31812,-0.139954
1.29096,0.37659,0.242768,3.31812,-0.139953
1.29095,0.37659,0.242752,3.31812,-0.139953
1.29094,0.37659,0.242736,3.31812,-0.139953
1.29093,0.37659,0.24272,3.31812,-0.139953
1.29092,0.37659,0.242704,3.31812,-0.139953
1.29092,0.37659,0.242689,3.31812,-0.139953
1.29091,0.37659,0.242673,3.31812,-0.139953
1.2909,0.37659,0.242657,3.31812,-0.139953
1.29089,0.37659,0.242641,3.31812,-0.139953
1.29088,0.37659,0.242625,3.31812,-0.139953
1.29087,0.37659,0.24261,3.31811,-0.139953
1.29087,0.37659,0.242594,3.31811,-0.139952
1.29086,0.37659,0.242578,3.31811,-0.139952
